Text,Language
Tom já comeu?,Portuguese
Quantos amigos você tem?,Portuguese
Existe alguma chance de você voltar para Quioto este ano?,Portuguese
"A gramática inteira do Esperanto a possuis, e o teu cabedal de conhecimentos, já neste momento, é não pequeno, mas, é claro, precisa de crescer.",Portuguese
Eu acho que isso vai cobrir todas as despesas do Tom.,Portuguese
He makes a mountain out of a molehill.,English
Mary drinks milk.,English
I don't think that Tom knows where he is.,English
This website isn't your personal playground.,English
"After she had read the letter, she tore it to pieces.",English
"आई, माझा रुमाल कुठेय?",Marathi
मला तुझी खूप आठवण येईल.,Marathi
टॉमची मदत करूया.,Marathi
"ते ज्या सकाळी जन्माला आले, त्या सकाळी मुसळधार बर्फ पडलेला.",Marathi
तिचा बॉयफ्रेंड मूर्ख आहे.,Marathi
Sono orgoglioso di essere italiano.,Italian
Che bel giardino che avete!,Italian
Non vai a costruire università in Islanda?,Italian
Ho dovuto aiutarle.,Italian
Chiedete a Trang se esce stasera.,Italian
Твоя мечта в скором времени исполнится.,Russian
Из-за внезапной болезни он отменил заграничную поездку.,Russian
"Я помню, что была среда.",Russian
"Попросите, пожалуйста, официантку принести мне соломинку.",Russian
Будь добр.,Russian
Nesri asegzawal n thawayit?,Berber languages
Tom ad yemlil d Mary ssya ɣef tlata n yisragen.,Berber languages
Ɛli d Dehbeyya ur llin ara srin ad d-aɣen apyanu.,Berber languages
Ad d-sɣen amsukki akellax.,Berber languages
Ur iyi-d-yuzen ara tabrat i ttrajuɣ.,Berber languages
우울해.,Korean
"톰은 아직도 살아있을까? – ""뭔 소리야, 그 사람은 죽은 지 이미 십 년도 넘었거든.""",Korean
너 천재구나.,Korean
제발 멈춰.,Korean
"너와 이야기 하는 것은 정말 좋았는데, 근데 진짜 가봐야 해.",Korean
רק מלאתי את תפקידי.,Hebrew
כבר ביקרת בברלין.,Hebrew
תשעים ותשע תמיד מצחיק אותי.,Hebrew
טום אומר שהוא יכול לקרוא ספר צרפתי.,Hebrew
נא למחוק את המשפט הזה.,Hebrew
Што би можел да направи Том?,Macedonian
Не можам да се расплеткам.,Macedonian
Се прашувам каде ли е Том во моментов.,Macedonian
Том има голема уста.,Macedonian
Тој погледна десно па лево.,Macedonian
Buanoc'h !,Breton
Divizomp 'ta!,Breton
"En e bark, o labourat, daoubleget, en gweloc'h.",Breton
Ma mamm ez a gwelloc'h ganti.,Breton
Dañsal a blij d'am c'hoar.,Breton
D nettat i asen-ten-id-yextaṛen.,Kabyle
Nteddu akken iteddu lḥal.,Kabyle
Nteqqel ɣer Buxlifa.,Kabyle
Ur terzim ara ɣer Ticci.,Kabyle
Ad as-d-awiɣ ayekfi.,Kabyle
你是我最好的朋友。,Mandarin Chinese
你的新商店什么时候开张？,Mandarin Chinese
她的頭髮中夾有白髮。,Mandarin Chinese
我迷路的时候，我就在河边。,Mandarin Chinese
太郎說英語，不是嗎？,Mandarin Chinese
Tomo faris aliajn stultaxojn.,Esperanto
Doloras al mi ĉi tiu dento.,Esperanto
Tiu malnova konstruaĵo finfine falegis.,Esperanto
Afero bone enkondukita estas duone finfarita.,Esperanto
Mi vidis Tomon kisi Manjon.,Esperanto
"La pelouse tondue de près séduit un peuple qui a tendance, par ses origines, à trouver du plaisir dans la contemplation d'un pâturage bien entretenu.",French
J'ai allumé la lumière.,French
On se fera un bon gueuleton à midi.,French
Il me faut savoir pourquoi tu es ici.,French
Pourquoi y étiez-vous ?,French
Önümüzdeki yıl.,Turkish
Bu deyişi seviyorum.,Turkish
Jesti takdir ediyorum ama yeterli değil.,Turkish
Tom ayıracak zamanı olmadığını biliyordu.,Turkish
"Hırsız, köpek havlamasını duyunca topukladı.",Turkish
"Nejsem si jist, kde bydlíš.",Czech
Proč chcete jet do Německa?,Czech
Auto nabouralo do náklaďáku.,Czech
Má dvě tužky. Jednu dlouhou a druhou krátkou.,Czech
"Bůh stvořil kočky, aby si lidé mohli pohladit tygra.",Czech
"Hvad mener I, piger?",Danish
Jeg elsker chips.,Danish
Er du forberedt på det værste?,Danish
Hun holdt en paraply.,Danish
Herrer først.,Danish
Я кашляв кров'ю.,Ukrainian
"Мері вже зробила те, що мала зробити.",Ukrainian
Ти вегетаріанець чи веган?,Ukrainian
Я вступив на службу до флоту.,Ukrainian
Я часто ходжу на рибалку.,Ukrainian
君たちのうち誰かが嘘をついてる。,Japanese
私は最後のチャンスを待ち構えた。,Japanese
彼のおじいさんは１年前に、ガンで亡くなった。,Japanese
昨日どこかで鍵をなくした。,Japanese
特大のグリーンのセーターを探してるんだけど。,Japanese
Υπάρχει γιατρειά.,Modern Greek (1453-)
Ο Τομ είναι γρήγορος οδηγός.,Modern Greek (1453-)
Ο πατέρας δεν τρώει γλυκό.,Modern Greek (1453-)
Αγαπιόσαστε πολύ;,Modern Greek (1453-)
Πόσα βιβλία έχεις περίπου;,Modern Greek (1453-)
Der Atem meiner Katze riecht nach Katzenfutter.,German
Drei Menschen wurden nach der Überschwemmung vermisst.,German
Tom spricht nie viel.,German
Tom braucht nicht lange unter der Dusche.,German
Möchten Sie jetzt essen?,German
Przez deszcz nie mogliśmy grać w tenisa na dworze.,Polish
"Dlaczego zjadł ciastko? - Zjadł ciastko, bo ono podobało mu się.",Polish
Pierwszy spacer w przestrzeni kosmicznej trwał 10 minut.,Polish
Moje auto musi być naprawione w parę dni,Polish
Otrzymał wiele braw.,Polish
Mi ez? Ez egy bolt.,Hungarian
Mindig késik az iskolából.,Hungarian
Éppen a szobámat takarítom.,Hungarian
Mindenről beszélnem kellett volna Tommal.,Hungarian
Az egész ország erről beszél.,Hungarian
¡Estoy trabajando!,Spanish
¿Cuándo ocurrió eso?,Spanish
¿Quiere usted otra taza de té?,Spanish
Sólo quiero darte las gracias.,Spanish
El trabajo de mi hermano consiste en enseñar el español.,Spanish
دەبوایە بۆ منتان بەجێ بهێشتایە.,Central Kurdish
تۆ یاریدەدەری نوێی منیت.,Central Kurdish
پێویستە پارێزەرێک بۆ خۆم بگرم,Central Kurdish
ئێستا لەکوێین؟,Central Kurdish
سێ ڕێی جیاوازم جەڕباندووە.,Central Kurdish
Tom a debarasat masa.,Romanian
Nu mai merită.,Romanian
Nimănui nu-i place de Tom.,Romanian
Nu am atât de multe abilități.,Romanian
Nu mă pot concentra dacă mă tot bați pe umăr.,Romanian
هي تكذب.,Arabic
مات سامي لوحده.,Arabic
سامي يدعم ليلى.,Arabic
توم في البيت.,Arabic
هذا الجهاز يولد الكهرباء.,Arabic
Avatkaa tuli!,Finnish
Tomi on raskasmielinen.,Finnish
Kiinnittäkää sen huomio!,Finnish
Lähes neljännes italialaisista on yli 65-vuotiaita.,Finnish
En ole ylpeä tyttärestäni.,Finnish
Spelen jullie voetbal?,Dutch
Hij werd beroemd.,Dutch
Tom heeft Maria verlaten.,Dutch
Zij kwamen samen.,Dutch
"Aan de kant, graag!",Dutch
Feles vidit murem et cucurrit post eum.,Latin
Centum est magnus numerus.,Latin
Ubi familia eius est?,Latin
De temporibus futuris locuti eramus.,Latin
Hic puer frater eius est.,Latin
Le cultura grec ha permeate le cultura latin.,Interlingua (International Auxiliary Language Association)
Io habeva le commando.,Interlingua (International Auxiliary Language Association)
Ego vide le mar ab le casa.,Interlingua (International Auxiliary Language Association)
Le purpuree flores se trova in le blau vaso grande.,Interlingua (International Auxiliary Language Association)
Io simplemente non pote comprender vos!,Interlingua (International Auxiliary Language Association)
ทอมยังไม่พร้อม,Thai
มันมีความหมายมาก,Thai
ทำไมคุณไม่กลับบ้านล่ะ,Thai
ทอมไม่ได้พูดอะไรได้แต่ยิ้ม,Thai
ทอมไม่รู้ว่าแมรี่ต้องการซื้ออะไร,Thai
Sme zvedaví.,Slovak
Odbočte doľava.,Slovak
Môj otec často varí.,Slovak
Jedzte!,Slovak
Obaja ste na omyle.,Slovak
Agir gûr dibe.,Northern Kurdish
